user,Kathmandu FunValley;1,Botanical Garden;2,Simba Fall;3,Sundarijal water fall;4,jhor;5,Taudaha lake;6,Phulchowki Hike;7,Kakani Hike;8,Amitabha Monastery Hike;9,Buddhanilkantha;10,Kopan Monastery;11,Swyambunath The Monkey Temple;12,Changunarayan;13,Patan Durbar Square;14,Bhaktapur Durbar Square;15,Kathmandu Durbar square;16,Pashupatinath;17,Narayanhiti Palace Museum;18,Taleju Temple;19,Hanuman Dhoka Durbar;20,Chandragiri Cable Car Bottom Station Nepal;21,Uma Maheshwor Temple;22,Siddhartha Art Gallery;23,Badikhel;24,Nagarkot;25,Lankuri Bhanjyang;26,Dharahara Tower;27,Kumari Ghar;28,Durbar Marg;29,Rani Pokhari;30,The Taragaon Museum;31,Central Zoo;32,Tundikhel;33,Kaal Bhairav;34,Whoopee Land Amusement Water Park;35,Jamacho Gumba;36,Sundari Chowk;37,Jagat-Narayan Temple;38,Gokarna Forest Resort;39,Namobuddha Monastery;40,Ason Bazar;41,National Museum of Nepal;42,55 Windows Palace;43,Siddha Pokhari;44,Naag Pokhari;45,Royal Nepal Golf Club;46,Gokarna Golf Course;47
11,0,0,0,0,0,0,5,0,2,2,0,0,5,0,0,0,0,4,0,3,3,0,0,5,3,0,0,0,3,3,3,3,0,0,4,0,0,0,4,3,0,3,0,4,3,0,5
12,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5
13,3,3,0,5,1,2,3,0,1,5,5,4,0,1,0,0,3,4,5,1,1,0,3,5,2,0,4,5,3,3,2,4,0,3,0,5,4,5,3,0,1,0,0,5,4,4,5
14,0,0,0,0,0,5,4,0,0,5,4,3,4,0,5,0,0,3,5,0,2,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5
15,1,0,0,0,0,1,4,0,0,0,1,4,4,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
16,5,0,0,5,0,5,5,0,5,5,0,0,5,0,0,0,0,5,0,0,0,0,2,5,0,5,0,2,0,5,0,0,0,0,0,0,0,0,4,0,0,0,5,5,4,0,5
17,4,0,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
18,5,0,0,3,0,0,5,0,0,5,5,5,4,0,3,0,0,5,4,0,3,4,0,3,0,0,2,0,0,0,0,3,0,5,3,4,0,4,0,5,0,0,0,5,4,4,5
19,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
20,3,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5
21,5,0,0,0,2,5,5,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,5,0,0,5
22,0,2,0,5,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,5
23,5,0,0,0,0,4,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,4,5
24,0,0,0,0,0,4,5,0,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,5
25,5,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
26,3,0,0,0,0,3,4,0,0,0,3,3,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5
27,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5
28,0,0,0,0,3,5,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,5
29,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
30,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
32,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
37,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,5,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,5,0,0,5
38,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,3,0,5
42,5,5,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,3,0,0,0,3,0,0,5,0,5,0,0,0,4,0,0,5,0,5
43,5,0,2,4,4,4,4,0,5,5,0,2,5,3,0,0,0,0,0,0,5,5,0,4,0,0,0,0,0,0,3,0,0,0,1,0,4,4,1,4,0,3,0,5,3,0,5
44,4,0,0,0,4,5,5,0,3,0,0,0,4,0,0,0,2,4,0,3,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,2,0,0,5
45,5,0,0,0,0,3,0,0,0,0,5,0,4,0,0,0,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
46,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
